iter	Passed	Remaining
755	12367	7263
756	12382	7246
757	12397	7229
758	12411	7211
759	12425	7193
760	12439	7175
761	12453	7158
762	12468	7141
763	12483	7124
764	12499	7107
765	12518	7092
766	12539	7078
767	12555	7062
768	12569	7044
769	12582	7026
770	12598	7010
771	12614	6993
772	12629	6976
773	12643	6958
774	12659	6942
775	12675	6925
776	12690	6908
777	12705	6891
778	12720	6874
779	12736	6858
780	12753	6841
781	12769	6825
782	12783	6808
783	12797	6790
784	12811	6772
785	12824	6755
786	12838	6737
787	12852	6719
788	12866	6702
789	12880	6685
790	12894	6667
791	12908	6649
792	12923	6632
793	12938	6615
794	12953	6598
795	12969	6582
796	12984	6565
797	13000	6548
798	13015	6531
799	13029	6514
800	13044	6498
801	13058	6480
802	13071	6462
803	13085	6445
804	13099	6427
805	13113	6410
806	13128	6393
807	13142	6376
808	13158	6359
809	13176	6344
810	13191	6327
811	13204	6309
812	13218	6292
813	13234	6275
814	13247	6258
815	13262	6241
816	13277	6224
817	13291	6206
818	13306	6190
819	13318	6172
820	13332	6154
821	13347	6137
822	13362	6120
823	13377	6104
824	13392	6087
825	13409	6071
826	13424	6054
827	13437	6037
828	13451	6019
829	13465	6002
830	13479	5985
831	13494	5968
832	13507	5951
833	13521	5934
834	13538	5918
835	13555	5902
836	13568	5884
837	13583	5867
838	13600	5852
839	13615	5835
840	13629	5818
841	13643	5800
842	13658	5784
843	13673	5767
844	13688	5750
845	13702	5733
846	13717	5717
847	13732	5700
848	13748	5684
849	13764	5667
850	13777	5650
851	13791	5633
852	13806	5616
853	13821	5599
854	13839	5584
855	13855	5568
856	13871	5551
857	13887	5535
858	13901	5518
859	13922	5504
860	13939	5488
861	13959	5473
862	13973	5456
863	13988	5440
864	14004	5423
865	14027	5410
866	14045	5394
867	14061	5378
868	14078	5362
869	14094	5346
870	14109	5329
871	14124	5312
872	14139	5296
873	14154	5279
874	14171	5263
875	14187	5247
876	14205	5231
877	14220	5215
878	14237	5199
879	14252	5182
880	14267	5166
881	14283	5149
882	14299	5133
883	14313	5116
884	14328	5099
885	14342	5082
886	14357	5066
887	14373	5050
888	14389	5034
889	14403	5016
890	14417	5000
891	14434	4984
892	14449	4967
893	14464	4950
894	14479	4934
895	14493	4917
896	14507	4900
897	14521	4883
898	14536	4867
899	14550	4850
900	14565	4833
901	14580	4816
902	14595	4800
